"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.portable-fire-pumps.com/en/products/","text/html; charset=UTF-8","200","OK","Indexable","","Products | Portable Fire Pumps","30","278","Browse Shibaura portable fire pumps engineered for wildfire response, municipal support, and emergency water transfer.","118","745","","0","Portable Fire Pumps","19","FT510-A","7","FT300 / 400-A","13","index, follow","","","https://www.portable-fire-pumps.com/en/products/","","","","","","155848","15938","15938","6.106","","760","240","3.167","53.122","Fairly Hard","3.930","3","2","","2","2","0","5.880","57","19","0","4","4","0","","","","","9f1e4aa1a6342a37374f65e1b059e5a0","0.508","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/","2026-03-24 12:41:01"
"https://www.portable-fire-pumps.com/en/products/water-cooled/","text/html; charset=UTF-8","200","OK","Indexable","","Water-Cooled Pumps | Portable Fire Pumps","40","388","Explore water-cooled Shibaura portable fire pumps designed for sustained high-output firefighting operations.","109","678","","0","Built for Sustained Operation","29","P572S-A","7","FK500-A","7","index, follow","","","https://www.portable-fire-pumps.com/en/products/water-cooled/","","","","","","95443","13140","13140","5.034","","437","124","3.524","44.318","Hard","3.986","3","3","","3","2","0","5.880","46","16","0","4","4","0","","","","","614efdc66a8401d704b08118c2c5e7be","0.672","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/water-cooled/","2026-03-24 12:41:01"
"https://www.portable-fire-pumps.com/en/products/ff500ar-a/","text/html; charset=UTF-8","200","OK","Indexable","","FF500AR-A Portable Fire Pump | Shibaura | Kojex","47","436","Auto Relay for long-distance water delivery. Auto-relay pump for long-distance water delivery and efficient operations.","119","725","","0","FF500AR-A","9","FF500-AR Pump Operation","23","Technical Specifications","24","index, follow","","","https://www.portable-fire-pumps.com/en/products/ff500ar-a/","","","","","","63420","12377","12377","4.741","","388","152","2.553","98.712","Very Easy","4.608","3","3","","3","2","0","5.880","41","17","0","4","4","0","","","","","139778f6dec4d33c15c2af56f186ad89","0.302","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/ff500ar-a/","2026-03-24 12:41:02"
"https://www.portable-fire-pumps.com/en/use-cases/","text/html; charset=UTF-8","200","OK","Indexable","","Portable Fire Pump Use Cases | Portable Fire Pumps","50","470","Explore portable fire pump use cases for remote firefighting, wildfire response, limited-hydrant operations, and long-distance water delivery.","142","857","","0","Portable Fire Pump Use Scenarios","32","Remote and off-grid firefighting","32","Air-cooled pumps are often the best starting point","50","index, follow","","","https://www.portable-fire-pumps.com/en/use-cases/","","","","","","49512","10495","10495","4.020","","474","70","6.771","41.292","Hard","7.960","3","2","","2","2","0","5.880","46","16","0","4","4","0","","","","","99a3d17f340020a1d26cf2c852d0908c","0.803","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/use-cases/","2026-03-24 12:41:02"
"https://www.portable-fire-pumps.com/en/products/air-cooled/","text/html; charset=UTF-8","200","OK","Indexable","","Air-Cooled Pumps | Portable Fire Pumps","38","359","Explore air-cooled Shibaura portable fire pumps built for lightweight rapid deployment and dependable field performance.","120","745","","0","Built for Variable Water Conditions","35","FT510-A","7","FT300 / 400-A","13","index, follow","","","https://www.portable-fire-pumps.com/en/products/air-cooled/","","","","","","93535","12892","12892","4.939","","410","127","3.228","62.008","Normal","3.775","3","3","","2","2","0","5.880","46","16","0","4","4","0","","","","","4da5469798ad83be0032e6de96f4378b","0.513","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/air-cooled/","2026-03-24 12:41:02"
"https://www.portable-fire-pumps.com/fr/","text/html; charset=UTF-8","200","OK","Indexable","","Portable Fire Pumps | Shibaura par Kojex","40","366","Distributeur exclusif en Amérique du Nord des pompes à incendie portatives Shibaura avec ressources techniques et accompagnement.","129","833","","0","Pompes incendie portatives haute performance","44","Pompes incendie portatives de confiance","39","Pompes incendie portatives","26","index, follow","","","https://www.portable-fire-pumps.com/fr/","","","","","","50093","10351","10351","3.965","","284","47","6.043","44.609","Hard","5.710","3","1","","0","0","0","0.000","53","18","0","4","4","0","","","","","6941aa431f90fedabfbfad45d3114294","0.314","","","","","fr","1.1","","","","","","https://www.portable-fire-pumps.com/fr/","2026-03-24 12:41:02"
"https://www.portable-fire-pumps.com/en/products/p572s-a/","text/html; charset=UTF-8","200","OK","Indexable","","P572S-A Portable Fire Pump | Shibaura | Kojex","45","414","Highest discharge performance of our lineup. High-output fire pump built for demanding operations and rapid priming.","116","729","","0","P572S-A","7","P572S-A Pump Operation","22","Technical Specifications","24","index, follow","","","https://www.portable-fire-pumps.com/en/products/p572s-a/","","","","","","66462","12637","12637","4.841","","449","166","2.705","100.000","Very Easy","4.906","3","3","","3","2","0","5.880","41","17","0","4","4","0","","","","","ce5ac7ce9d4b54f39fb20bd164616942","0.318","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/p572s-a/","2026-03-24 12:41:03"
"https://www.portable-fire-pumps.com/en/products/tf516mh-ab/","text/html; charset=UTF-8","200","OK","Indexable","","TF516MH-AB Portable Fire Pump | Shibaura | Kojex","48","455","The smallest pump in its class, offering superior mobility. Smallest-in-class pump for rapid deployment and easy vehicle mounting.","130","798","","0","TF516MH-AB","10","TF516MH-AB Pump Operation","25","Technical Specifications","24","index, follow","","","https://www.portable-fire-pumps.com/en/products/tf516mh-ab/","","","","","","63205","12131","12131","4.647","","387","153","2.529","100.000","Very Easy","4.571","3","3","","3","2","0","5.880","41","17","0","4","4","0","","","","","759411245a41a589bfe2f50fa3a05c4b","0.308","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/tf516mh-ab/","2026-03-24 12:41:03"
"https://www.portable-fire-pumps.com/en/resources/","text/html; charset=UTF-8","200","OK","Indexable","","Resources | Portable Fire Pumps","31","291","Access Shibaura product catalogs, operation manuals, parts lists, and storage guidance in one place.","100","623","","0","Documents and Parts Lists","25","Browse Available Resources","26","Product Catalogs","16","index, follow","","","https://www.portable-fire-pumps.com/en/resources/","","","","","","103496","13464","13464","5.158","","393","150","2.620","79.751","Fairly Easy","3.058","3","2","","6","2","0","5.880","63","28","0","4","4","0","","","","","9ca80127eee8b1e4c17bf5ca70a4327c","0.512","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/resources/","2026-03-24 12:41:02"
"https://www.portable-fire-pumps.com/en/contact-us/","text/html; charset=UTF-8","200","OK","Indexable","","Contact | Portable Fire Pumps","29","268","Contact Kojex International for portable fire pump quotes, distributor inquiries, and technical support.","104","625","","0","Contact Us","10","Contact Information","19","Organization Information","24","index, follow","","","https://www.portable-fire-pumps.com/en/contact-us/","","","","","","73584","14475","14475","5.545","","212","66","3.212","65.102","Normal","3.078","3","2","","2","2","0","5.880","35","13","0","4","4","0","","","","","8cc117569763921be52388f39f6f927b","0.306","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/contact-us/","2026-03-24 12:41:03"
